slug,title,author,year,pov,tokens,paragraphs,N,E,density,avg_degree,clustering,path,diameter,assortativity,modularity,communities,sigma,top_b_char,top_b_val,top_d_char,top_d_val
pride-and-prejudice,Pride and Prejudice,Austen,1813,3rd,152543,2509,94,1741,0.39830702356440173,37.04255319148936,0.7875183497415414,1.6028368794326242,3,-0.3093414310383281,0.08368531041264093,5,1.9829025324700313,Elizabeth,0.8757402212872059,Elizabeth,89
moby-dick,Moby-Dick,Melville,1851,1st,260546,2802,245,2716,0.09086651053864168,22.17142857142857,0.7087159741110077,2.0802275008364,4,-0.25609466728363406,0.29121990707396395,8,7.681082127431775,Ahab,0.6633272616879173,Ahab,165
frankenstein,Frankenstein,Shelley,1818,1st,85881,795,50,297,0.24244897959183673,11.88,0.7510233696681268,1.9444897959183673,3,-0.23288587262757846,0.3543268104295376,4,2.9040275930475987,Elizabeth,0.5501700680272109,Elizabeth,36
a-tale-of-two-cities,A Tale of Two Cities,Dickens,1859,3rd,168428,3327,91,769,0.1877899877899878,16.9010989010989,0.6884596728052367,1.9792429792429793,4,-0.19773407201218213,0.23489290829464038,4,3.476319020469611,Mr. Lorry,0.6945068664169788,Mr. Lorry,60
dracula,Dracula,Stoker,1897,1st,191530,2190,112,1019,0.16393178893178892,18.196428571428573,0.7775557974871624,1.8703346203346203,3,-0.3828829455841392,0.10862591181822825,4,4.717498758683523,Jonathan,0.5887523887523887,Jonathan,98
great-expectations,Great Expectations,Dickens,1861,1st,226689,3915,121,1182,0.1628099173553719,19.537190082644628,0.7356350578091496,1.873522290272041,3,-0.3110836352204162,0.22945638639802973,6,4.283591988935876,Joe,0.4957282913165265,Pip,101
huckleberry-finn,Huckleberry Finn,Twain,1884,1st,140722,2275,124,893,0.11709939680041961,14.403225806451612,0.7098959882265748,2.0082612116443745,4,-0.19382632417018067,0.3711000424891359,5,6.182763929845578,Jim,0.901439424230308,Jim,108
sherlock-holmes,The Adventures of Sherlock Holmes,Doyle,1892,1st,127667,2546,105,531,0.09725274725274725,10.114285714285714,0.7794084642780316,1.9241758241758242,3,-0.232738028858815,0.2890504368959764,8,9.501038267107274,Holmes,0.97096713965646,Holmes,102
emma,Emma,Austen,1815,3rd,189463,2382,120,2031,0.28445378151260503,33.85,0.7945884329041095,1.7177871148459383,3,-0.39302830254967447,0.07670303448692968,4,2.801766522979496,Emma,0.8606608745192992,Emma,118
jane-eyre,Jane Eyre,Brontë,1847,1st,230455,4115,147,1420,0.13232690336408537,19.31972789115646,0.7360487624929192,1.977075761811574,4,-0.24088179880494148,0.3963502622962164,5,5.565282007937142,Jane,0.6615021256495041,Mrs. Fairfax,113
